SoC,OCV,R0,R1,R2,C1,C2,Tau1,Tau2
57.921,52.28208691967949,0.0560518211500954,0.0407711285736489,0.0296382855473157,610.5405934810683,7020.629831619578,24.102881464619088,228.10843898154496
57.922,52.282097725276905,0.056051050910984,0.0407714454739128,0.0296389009143235,610.5381645490725,7020.542153377817,24.10308396206488,228.10992569135405
57.923,52.28210853170731,0.0560502806955346,0.0407717623923047,0.0296395163697144,610.53573532461,7020.454467528069,24.10328647614655,228.11141250323377
57.924,52.28211933897074,0.0560495105037608,0.0407720793288195,0.0296401319134831,610.5333058076808,7020.366774070335,24.10348900686072,228.11289941715165
57.925,52.28213014706717,0.0560487403356765,0.0407723962834519,0.0296407475456246,610.5308759982848,7020.279073004614,24.103691554204,228.1143864330753
57.926,52.28214095599663,0.0560479701912954,0.0407727132561969,0.0296413632661337,610.5284458964221,7020.191364330906,24.103894118173024,228.1158735509724
57.927,52.28215176575913,0.0560472000706312,0.040773030247049,0.0296419790750052,610.5260155020927,7020.103648049212,24.104096698764398,228.1173607708103
57.928,52.28216257635468,0.0560464299736978,0.0407733472560032,0.0296425949722339,610.5235848152965,7020.015924159532,24.104299295974737,228.11884809255676
57.929,52.28217338778328,0.0560456599005088,0.0407736642830541,0.0296432109578146,610.5211538360337,7019.928192661864,24.10450190980067,228.1203355161792
57.93,52.28218420004495,0.056044889851078,0.0407739813281966,0.0296438270317422,610.5187225643042,7019.840453556211,24.104704540238806,228.12182304164529
57.931,52.282195013139685,0.0560441198254192,0.0407742983914255,0.0296444431940115,610.5162910001079,7019.752706842572,24.104907187285765,228.12331066892247
57.932,52.2822058270675,0.0560433498235461,0.0407746154727356,0.0296450594446173,610.5138591434448,7019.664952520944,24.10510985093816,228.1247983979784
57.933,52.28221664182839,0.0560425798454725,0.0407749325721215,0.0296456757835545,610.5114269943151,7019.577190591332,24.10531253119261,228.1262862287805
57.934,52.28222745742239,0.0560418098912121,0.0407752496895781,0.0296462922108178,610.5089945527186,7019.489421053731,24.10551522804572,228.12777416129643
57.935,52.28223827384949,0.0560410399607788,0.0407755668251003,0.0296469087264021,610.5065618186554,7019.401643908145,24.10571794149412,228.12926219549365
57.936,52.282249091109705,0.0560402700541862,0.0407758839786826,0.0296475253303022,610.5041287921255,7019.313859154572,24.105920671534413,228.13075033133973
57.937,52.28225990920304,0.0560395001714481,0.04077620115032,0.0296481420225129,610.5016954731288,7019.226066793013,24.10612341816321,228.13223856880217
57.938,52.28227072812951,0.0560387303125784,0.0407765183400073,0.0296487588030291,610.4992618616654,7019.138266823467,24.106326181377145,228.1337269078485
57.939,52.28228154788912,0.0560379604775907,0.0407768355477391,0.0296493756718455,610.4968279577353,7019.050459245935,24.10652896117281,228.13521534844628
57.94,52.28229236848187,0.0560371906664988,0.0407771527735102,0.029649992628957,610.4943937613385,7018.962644060416,24.106731757546825,228.13670389056296
57.941,52.28230318990777,0.0560364208793165,0.0407774700173156,0.0296506096743584,610.4919592724749,7018.87482126691,24.1069345704958,228.13819253416608
57.942,52.28231401216686,0.0560356511160576,0.0407777872791498,0.0296512268080446,610.4895244911446,7018.786990865418,24.10713740001635,228.13968127922317
57.943,52.282324835259104,0.0560348813767358,0.0407781045590077,0.0296518440300102,610.4870894173476,7018.699152855939,24.10734024610508,228.14117012570165
57.944,52.28233565918453,0.0560341116613648,0.0407784218568841,0.0296524613402501,610.4846540510839,7018.611307238474,24.107543108758613,228.14265907356912
57.945,52.28234648394316,0.0560333419699586,0.0407787391727738,0.0296530787387592,610.4822183923534,7018.523454013022,24.107745987973544,228.144148122793
57.946,52.28235730953497,0.0560325723025307,0.0407790565066714,0.0296536962255323,610.4797824411563,7018.435593179584,24.10794888374649,228.14563727334084
57.947,52.28236813596,0.0560318026590951,0.0407793738585718,0.0296543138005642,610.4773461974924,7018.34772473816,24.108151796074072,228.14712652518008
57.948,52.28237896321824,0.0560310330396655,0.0407796912284698,0.0296549314638496,610.4749096613617,7018.259848688748,24.10835472495288,228.1486158782782
57.949,52.2823897913097,0.0560302634442556,0.0407800086163602,0.0296555492153834,610.4724728327644,7018.171965031351,24.108557670379533,228.15010533260272
57.95,52.282400620234405,0.0560294938728792,0.0407803260222376,0.0296561670551604,610.4700357117002,7018.0840737659655,24.108760632350634,228.1515948881211
